Bus (ID);Bus (numéro);Etat;Ligne (ID);Ligne (nom court);Code du sens;Destination;Coordonnées;Avance / Retard
46267221;46267221;Hors-service;;;;;48.109836,-1.642593;
24034920;24034920;Hors-service;;;;;48.109518,-1.642673;
25637248;25637248;Hors-service;;;;;48.109516,-1.642269;
45866639;45866639;En ligne;0050;50;0;;48.131345,-1.637065;-124
23634338;23634338;Hors-service;;;;;48.10952,-1.642834;
25436957;25436957;Hors-service;;;;;48.110478,-1.641869;
45666348;45666348;Hors-service;;;;;48.109674,-1.642592;
23434047;23434047;Hors-service;;;;;48.109437,-1.640835;
25036375;25036375;Hors-service;;;;;48.109518,-1.64243;
45466057;45466057;Hors-service;;;;;48.10968,-1.642673;
22432592;22432592;Hors-service;;;;;48.110315,-1.640508;
24435502;24435502;Hors-service;;;;;48.110881,-1.644906;
45065475;45065475;Hors-service;;;;;48.109677,-1.642754;
21631428;21631428;Hors-service;;;;;48.110316,-1.641626;
24235211;24235211;Hors-service;;;;;48.109518,-1.642673;
44264311;44264311;Hors-service;;;;;48.109676,-1.642996;
22232301;22232301;Hors-service;;;;;48.10992,-1.642748;
44064020;44064020;Hors-service;;;;;48.110235,-1.64139;
22032010;22032010;Hors-service;;;;;48.11064,-1.645073;
43863729;43863729;Hors-service;;;;;48.063753,-1.701228;
21431137;21431137;Hors-service;;;;;48.109912,-1.643636;
43262856;43262856;Hors-service;;;;;48.063759,-1.701309;
25236666;25236666;Hors-service;;;;;48.110956,-1.644831;
24836084;24836084;Hors-service;;;;;48.109515,-1.642511;
23834629;23834629;Hors-service;;;;;48.109514,-1.642753;
23233756;23233756;Hors-service;;;;;48.110238,-1.641309;
22632883;22632883;Hors-service;;;;;48.110313,-1.641706;
21831719;21831719;Hors-service;;;;;48.110954,-1.644185;
